Model Type,Layers,Units per 1 layer,Epochs,Batch Size,Training Loss,Validation Loss,Time Taken (s)
BiLSTM,2,50,50,32,0.0036466126330196857,0.0035834817681461573,58.457825899124146
BiLSTM,2,50,50,64,0.0031274924986064434,0.005658128764480352,52.494457721710205
BiLSTM,2,100,25,32,0.0032537125516682863,0.0032421117648482323,71.12984919548035
BiLSTM,2,100,25,64,0.003363685915246606,0.0028715464286506176,79.41702961921692
BiLSTM,2,100,50,32,0.0024474128149449825,0.0027736080810427666,148.7401146888733
BiLSTM,2,100,50,64,0.0026812218129634857,0.0034127002581954002,156.61709070205688
BiLSTM,2,150,25,32,0.002721746452152729,0.0027221308555454016,557.6177084445953
BiLSTM,2,150,25,64,0.004260770045220852,0.003830509725958109,218.88154768943787
BiLSTM,2,150,50,32,0.0028926907107234,0.003050835570320487,1061.4195566177368
BiLSTM,2,150,50,64,0.0023224148899316788,0.0030248300172388554,447.06287908554077
BiLSTM,3,50,25,32,0.00458296574652195,0.003850820939987898,49.261417388916016
BiLSTM,3,50,25,64,0.006028370000422001,0.0064514013938605785,46.02620768547058
BiLSTM,3,50,50,32,0.0035690313670784235,0.0036462421994656324,90.59017443656921
BiLSTM,3,50,50,64,0.0038100015372037888,0.003038767259567976,92.95270776748657
BiLSTM,3,100,25,32,0.0033160015009343624,0.00306086428463459,127.66947507858276
BiLSTM,3,100,25,64,0.0049829850904643536,0.0038159857504069805,166.1760048866272
BiLSTM,3,100,50,32,0.004734131507575512,0.005003298632800579,254.8753662109375
BiLSTM,3,100,50,64,0.0030324042309075594,0.004235226660966873,331.2849736213684
BiLSTM,3,150,25,32,0.004181865602731705,0.0053291176445782185,991.3532927036285
BiLSTM,3,150,25,64,0.00451383413746953,0.003417217405512929,364.0690538883209
BiLSTM,3,150,50,32,0.002737480215728283,0.003853690344840288,2048.0552294254303
BiLSTM,3,150,50,64,0.002456498332321644,0.0025213025510311127,711.8180844783783
BiLSTM,4,50,25,32,0.004069253336638212,0.004145593848079443,144.44895434379578
BiLSTM,4,50,25,64,0.004086574539542198,0.0033045466989278793,102.1512143611908
BiLSTM,4,50,50,32,0.002866963157430291,0.0032910569570958614,235.90678691864014
BiLSTM,4,50,50,64,0.002454429166391492,0.002747870981693268,122.49983382225037
BiLSTM,4,100,25,32,0.0029092493932694197,0.0030064035672694445,172.59446096420288
BiLSTM,4,100,25,64,0.004454178269952536,0.0034291211050003767,226.7459681034088
BiLSTM,4,100,50,32,0.0025784741155803204,0.003191421739757061,334.2947590351105
BiLSTM,4,100,50,64,0.002689298475161195,0.0034860107116401196,954.7387664318085
BiLSTM,4,150,25,32,0.00487446878105402,0.0057513052597641945,1795.5204329490662
BiLSTM,4,150,25,64,0.003206297056749463,0.0024044576566666365,753.9880704879761
BiLSTM,4,150,50,32,0.0029409900307655334,0.003024887293577194,3572.986445426941
BiLSTM,4,150,50,64,0.0046610780991613865,0.0065253619104623795,1445.936666727066
